Date,Open,High,Low,Close,Volume
09-11-2022,259.660004,260.899994,254.220001,254.660004,7266000
10-11-2022,265.98999,275.359985,260.089996,274.970001,9667300
11-11-2022,274.470001,290.660004,271.559998,290.130005,9573800
14-11-2022,290,311,288.190002,299.269989,17978200
15-11-2022,309.200012,312.709991,302.549988,310.200012,14626900
16-11-2022,309.940002,310.48999,303.609985,306.019989,8038600
17-11-2022,294.720001,299.820007,291,295.279999,9838200
18-11-2022,297.329987,298,287,287.980011,8400100
21-11-2022,291,291.869995,282.660004,285.049988,7256500
22-11-2022,284.98999,286.980011,277.339996,286.690002,6245100
23-11-2022,285.910004,292.470001,283.76001,291.5,5919000
25-11-2022,289,289.209991,284.170013,285.540009,3236000
28-11-2022,284,289.549988,280.529999,281.170013,4703400
29-11-2022,282.5,282.959991,275.940002,280.959991,5786900
30-11-2022,281.369995,308.26001,280.410004,305.529999,16070100
01-12-2022,303.98999,319.799988,303.029999,316.950012,14664900
02-12-2022,310.48999,321.98999,310,320.410004,12690600
05-12-2022,316.459991,322.769989,310.920013,312.589996,8423000
06-12-2022,311,313.220001,303.130005,305.559998,7195400
07-12-2022,306.5,309.609985,302.100006,308.420013,7821600
08-12-2022,309.109985,312.380005,304.809998,310.26001,7205300
09-12-2022,321.450012,329,319.519989,320.01001,14364000
12-12-2022,320,323.179993,308.850006,315.179993,10148600
13-12-2022,328,332.720001,317.200012,320.339996,10756400
14-12-2022,318.970001,324.709991,314.420013,317.829987,7543300
15-12-2022,302.119995,303.390015,286.549988,290.410004,17724600
16-12-2022,288.76001,294.720001,288.700012,290.709991,14080000
19-12-2022,289.730011,292.25,286.130005,288.299988,6163700
20-12-2022,281.23999,289.279999,280.809998,288.190002,6918100
21-12-2022,289.98999,300.660004,286.5,297.959991,6376200
22-12-2022,298.089996,298.880005,290.809998,297.75,7856200
23-12-2022,296.179993,298.459991,291.910004,294.959991,4251100
27-12-2022,293.190002,293.570007,282.130005,284.170013,5778100
28-12-2022,281.920013,285.190002,273.410004,276.880005,5964400
29-12-2022,283.179993,295.5,281.01001,291.119995,9588500
30-12-2022,285.529999,295.01001,283.220001,294.880005,7566900
03-01-2023,298.059998,298.390015,288.700012,294.950012,6764000
04-01-2023,298.23999,311.140015,295.51001,309.410004,9345100
05-01-2023,307,314.179993,304.549988,309.700012,8328400
06-01-2023,311.570007,316.769989,303.690002,315.549988,8959800
09-01-2023,316.829987,321.700012,313.220001,315.170013,6766600
10-01-2023,311.070007,329.350006,311.070007,327.540009,13072300
11-01-2023,326.5,328.880005,321.350006,327.26001,9579700
12-01-2023,332.5,332.950012,323.140015,330.130005,10856200
13-01-2023,329.970001,336.649994,328.890015,332.820007,8286800
17-01-2023,331.079987,332.5,323.600006,326.220001,9247000
18-01-2023,326.75,330.079987,321.25,326.329987,7814100
19-01-2023,322.570007,324.890015,313.390015,315.779999,18008200
20-01-2023,336.790009,344,332.630005,342.5,28430300
23-01-2023,341.720001,362.25,340.630005,357.420013,15646900
24-01-2023,357.529999,365.649994,355.140015,363.829987,11796500
25-01-2023,360.570007,368.899994,358.5,367.959991,7766900
26-01-2023,368.769989,369.019989,361.700012,364.869995,8256800
27-01-2023,363.200012,365.920013,360.589996,360.769989,6703500
30-01-2023,358.440002,360.950012,352.859985,353.109985,5127600
31-01-2023,349.980011,355.950012,348.709991,353.859985,5660700
01-02-2023,353.859985,365.390015,349.910004,361.98999,8005200
02-02-2023,365.160004,368.320007,358.429993,366.890015,7857000
03-02-2023,359.079987,379.429993,359,365.899994,9402000
06-02-2023,363.640015,368.450012,360.679993,361.480011,4994900
07-02-2023,358.51001,364.179993,354.179993,362.950012,6289400
08-02-2023,360.019989,368.190002,358.309998,366.829987,6253200
09-02-2023,372.410004,373.829987,361.73999,362.5,6901100
10-02-2023,359.160004,362.140015,347.140015,347.359985,7291100
13-02-2023,349.5,359.700012,344.25,358.570007,7134400
14-02-2023,357.549988,363.75,353.399994,359.959991,4624800
15-02-2023,356.630005,362.880005,354.23999,361.420013,3966000
16-02-2023,355,361.5,350.309998,350.709991,5215700
17-02-2023,347.910004,349,342.440002,347.959991,5294700
21-02-2023,342.850006,344.130005,336.420013,337.5,5710300
22-02-2023,337.5,341.910004,332.820007,334.880005,4546200
23-02-2023,331.230011,331.279999,314.299988,323.649994,13238700
24-02-2023,319.299988,321.5,314.519989,317.149994,6830700
27-02-2023,323.869995,330,322.119995,323.029999,6142600
28-02-2023,323.700012,327.619995,321.170013,322.130005,3676100
01-03-2023,321.549988,326.600006,312.359985,313.480011,4911300
02-03-2023,310.959991,315.570007,310.380005,311.880005,4911000
03-03-2023,315.450012,317.48999,310.820007,315.179993,5953300
06-03-2023,317,323.299988,311.839996,312.029999,5660700
07-03-2023,312.679993,314.299988,306.619995,308.470001,4553100
08-03-2023,309.290009,311.829987,305.75,311.790009,3479500
09-03-2023,312.079987,312.51001,294.880005,297.779999,7443400
10-03-2023,297.899994,298.790009,289,292.76001,5759300
13-03-2023,287.339996,299.23999,285.329987,293.51001,6292400
14-03-2023,295.970001,297.450012,290.309998,294.940002,5956700
15-03-2023,292.51001,306.309998,292.279999,303.790009,9215300
16-03-2023,304.75,316.600006,301.709991,310.059998,7903700
17-03-2023,310.059998,310.76001,300,303.5,6918800
20-03-2023,299.790009,307.5,296,305.130005,5113400
21-03-2023,306.320007,307.920013,300.429993,305.790009,4886300
22-03-2023,306.309998,306.450012,293.540009,293.899994,5808000
23-03-2023,304.679993,322.779999,304.140015,320.369995,15653300
24-03-2023,320.630005,331.829987,320.630005,328.390015,12991700
27-03-2023,327.549988,336.440002,324.410004,327.660004,8625800
28-03-2023,326.059998,333.320007,321.279999,323.519989,6489400
29-03-2023,326.290009,332.850006,325.730011,332.029999,6287300
30-03-2023,340.269989,343.290009,335.299988,338.429993,7131500
31-03-2023,340.049988,345.839996,337.200012,345.480011,5610200
03-04-2023,341.829987,348.579987,340.399994,348.279999,4413700
04-04-2023,348.48999,349.799988,343.950012,346.75,3298100
05-04-2023,345.299988,345.429993,336.25,342.350006,4205500
06-04-2023,339.339996,340.480011,332.630005,339.329987,4660500
10-04-2023,335.269989,339.880005,333.359985,338.98999,2657900
11-04-2023,343.450012,347.140015,337.640015,338.209991,4044800
12-04-2023,340.809998,342.799988,330.040009,331.029999,3965400
13-04-2023,339.98999,346.429993,338.75,346.190002,7406400
14-04-2023,342.940002,344.850006,336.410004,338.630005,5350500
17-04-2023,338,338.390015,327.5,332.720001,6136000
18-04-2023,335,337.190002,330.5,333.700012,17944500
19-04-2023,324.209991,325.75,316.100006,323.119995,22128300
20-04-2023,320.390015,331.429993,318.329987,325.350006,9947800
21-04-2023,323,328.290009,319.5,327.980011,6348000
24-04-2023,330.200012,334.660004,326.75,329.019989,5586600
25-04-2023,328.5,328.660004,321.100006,322.549988,5426600
26-04-2023,321.359985,325.899994,320.470001,321.149994,4623200
27-04-2023,324.299988,327.450012,317.440002,325.850006,5618800
28-04-2023,325.23999,330.809998,324,329.929993,4221900
01-05-2023,329.440002,331.230011,318.089996,324.119995,5341500
02-05-2023,325,326.070007,315.619995,317.549988,4318600
03-05-2023,317.549988,324.619995,315.850006,319.299988,5064100
04-05-2023,319.01001,323.609985,317.950012,320.779999,3879700
05-05-2023,323.609985,324.149994,319.440002,322.76001,3988600
08-05-2023,322.98999,332.559998,322.029999,331.209991,5488600
09-05-2023,330.670013,336.320007,329.73999,332.140015,5544900
10-05-2023,335.209991,337.109985,329.51001,335.420013,4289900
11-05-2023,334.980011,345.470001,331.839996,344.76001,8033500
12-05-2023,344.76001,348.170013,337.359985,339.890015,6079900
15-05-2023,340.619995,341.899994,335.540009,335.890015,3653000
16-05-2023,334,335.170013,331.910004,333.75,3332200
17-05-2023,331.76001,341.380005,329.619995,339.959991,3958800
18-05-2023,347.25,375.869995,346.369995,371.290009,20925200
19-05-2023,369.859985,369.98999,363.809998,365.359985,7850900
22-05-2023,365.359985,372.01001,362.5,363.01001,5406400
23-05-2023,360.23999,364.170013,354.309998,355.98999,6866100
24-05-2023,356.929993,367.149994,356.630005,364.850006,7973300
25-05-2023,359.609985,367.450012,357.420013,359,6263100
26-05-2023,361.100006,383.76001,356,378.880005,9343000
