Date,Open,High,Low,Close,Volume,,,,,,
12-07-2000,374.1,375.75,368,370.05,5052490,,,,,,
13-07-2000,370.8,373.8,363,365.75,5945560,,,,,,
14-07-2000,366.25,370.45,359.6,361.2,6403575,,,,,,
17-07-2000,362.9,364.9,357.5,363.3,6151343,,,,,,
18-07-2000,361.5,363,356.3,358.15,3720569,,,,,,
19-07-2000,358.5,362.5,352.5,354.1,4178056,,,,,,
20-07-2000,352.9,360.8,347,357.6,8901351,,,,,,
21-07-2000,357,357,342.25,343.9,10264940,,,,,,
24-07-2000,341.05,341.05,324.15,326.5,6016447,,,,,,
25-07-2000,322.55,336.45,320.2,333.9,6604953,,,,,,
26-07-2000,339,339,324,325.6,3880880,,,,,,
27-07-2000,326,350.8,322.1,344.05,8614501,,,,,,
28-07-2000,348,350,339.2,340.45,5985200,,,,,,
31-07-2000,338,340.9,335.5,336.8,2006533,,,,,,
01-08-2000,336,341.9,335.6,338.5,3732876,,,,,,
02-08-2000,337.4,339.7,336,339,1456348,,,,,,
03-08-2000,339.8,343.75,336.3,337.65,3333675,,,,,,
04-08-2000,338.5,338.75,329.15,330.1,3271743,,,,,,
07-08-2000,329,332,324.15,330.25,2471284,,,,,,
08-08-2000,331.65,333.35,329.5,330.85,2252594,,,,,,
09-08-2000,333,338,331.15,333.7,2395016,,,,,,
10-08-2000,332,335.75,328.15,329.55,1700036,,,,,,
11-08-2000,329.5,332,327.7,329.25,1951207,,,,,,
14-08-2000,329,331.85,322.3,329.35,2652282,,,,,,
16-08-2000,331.9,340.8,330.25,337.4,4819689,,,,,,
17-08-2000,339,345.4,335.5,337.75,6151601,,,,,,
18-08-2000,337.05,339.85,335.65,336.95,1834008,,,,,,
21-08-2000,336.2,338.9,335.1,336.5,1448300,,,,,,
22-08-2000,338.5,342.25,336.7,338.3,2848531,,,,,,
23-08-2000,341.7,346,338.55,339.55,5423766,,,,,,
24-08-2000,339,340.75,334,335.6,3300159,,,,,,
25-08-2000,336.5,338.4,331.25,333.6,1655254,,,,,,
28-08-2000,333.5,335,331.6,332.2,1190817,,,,,,
29-08-2000,331.3,334.5,329.3,330.4,2165046,,,,,,
30-08-2000,334.75,338.8,331.6,336.9,3066115,,,,,,
31-08-2000,338.5,340.8,335.05,336.55,2740898,,,,,,
04-09-2000,338.9,356.75,338.25,353.9,7875701,,,,,,
05-09-2000,357,359.6,352.25,355.75,3634270,,,,,,
06-09-2000,356,365.9,352,363.6,9780431,,,,,,
07-09-2000,361.15,370.9,360.1,361.85,7549126,,,,,,
08-09-2000,362,375,361.05,370.9,5956473,,,,,,
